Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%)
Germany,2014,14.033461538461538,19.456641221374046,25.512264150943395,3.940119,6.57494
Germany,2015,12.6825,18.31889312977099,25.019686520376176,3.946206,6.566759
Germany,2016,12.198529411764707,17.070346153846153,24.899369085173504,3.949598,6.54799
Germany,2017,12.078344827586207,16.816477272727273,23.598668730650154,3.959866,6.540496
Greece,2010,14.86,38.536,25.728571428571428,4.32432,5.803853
Greece,2013,10.02,33.30444444444444,20.2475,4.272856,5.80382
Greece,2015,18.845,32.367777777777775,24.34058823529412,4.231759,5.798518
Greece,2016,17.05142857142857,32.2,26.63375,4.208264,5.794717
Greece,2017,16.45875,28.73785714285714,28.843846153846155,4.185864,5.790228
Guatemala,2013,40.88,56.125,34.75,3.28505,2.898381
Guatemala,2014,35.17,46.75,41.67,3.265867,2.900451
Hungary,2010,21.6425,29.776315789473685,20.978333333333335,2.767358,3.464218
Hungary,2013,17.023333333333333,26.223157894736843,19.34777777777778,2.752576,3.461858
Hungary,2014,15.8525,25.303333333333335,18.820625,2.753656,3.460273
Hungary,2016,10.13,24.03,18.81823529411765,2.758478,3.45659
Hungary,2017,14.85,27.145294117647058,20.31,2.765242,3.454657
Iceland,2010,7.735,20.95,7.23,3.358979,5.280214
Iceland,2014,7.640000000000001,6.03,2.985,3.361046,5.294874
Iceland,2015,6.43,9.5225,11.4525,3.360755,5.294539
Iceland,2016,6.695,8.907499999999999,8.215,3.360144,5.29282
Iceland,2017,5.2,10.2425,7.814444444444444,3.361665,5.290988
India,2016,39.38616438356164,98.44258064516129,22.596913580246916,3.520805,3.298067
India,2017,39.31032258064516,95.31203389830509,22.6059375,3.529853,3.301939
Ireland,2010,11.46,17.084999999999997,17.576666666666668,4.344662,5.818125
Ireland,2013,10.876000000000001,16.52375,13.262857142857143,4.317934,5.828983
Ireland,2014,7.57,14.723749999999999,7.186,4.301374,5.831698
Ireland,2015,7.025999999999999,13.292857142857143,6.658333333333334,4.286581,5.83418
Ireland,2016,8.866666666666667,13.75,14.577777777777776,4.269448,5.836752
Ireland,2017,7.332857142857143,12.31,14.04875,4.250921,5.839092
Italy,2010,20.088117647058823,27.55427118644068,27.788501362397817,3.455801,5.632361
Italy,2013,18.26977777777778,25.558449612403102,24.80948275862069,3.454904,5.632414
Italy,2014,16.104313725490197,23.508475177304966,22.90990322580645,3.456543,5.631731
Italy,2015,18.68425414364641,26.739369369369367,23.551280653950954,3.458618,5.630367
Italy,2016,16.37331550802139,23.637455621301775,21.959666666666667,3.459977,5.628456
Italy,2017,17.186587677725118,25.146406685236766,21.849133663366334,3.464256,5.626121
Kuwait,2015,63.93333333333334,138.23181818181817,56.026363636363634,3.598983,4.933717
Kuwait,2016,35.09166666666667,116.42923076923077,55.674285714285716,3.616657,4.951041
Kuwait,2017,65.986,147.10500000000002,36.47,3.635679,4.967279
Latvia,2010,21.49,26.072499999999998,34.62,3.503259,2.943551
Latvia,2013,14.100000000000001,21.551666666666666,17.582,3.493617,2.943858
Latvia,2014,16.716,24.836000000000002,16.704,3.493358,2.943887
Latvia,2015,16.195,21.222,15.712,3.493756,2.944219
Latvia,2016,13.797999999999998,19.234,13.074000000000002,3.49462,2.944511
Latvia,2017,12.712,18.137999999999998,12.110000000000001,3.499571,2.94495
Lebanon,2014,27.0,41.75,59.0,3.751703,6.070856
Lebanon,2015,15.0,43.0,47.0,3.728943,6.073276
Lithuania,2010,15.856666666666667,28.16111111111111,14.183333333333334,4.21008,2.922035
Lithuania,2013,15.086000000000002,28.814,14.753333333333334,4.176505,2.926594
Lithuania,2014,14.290000000000001,26.693125000000002,13.906666666666666,4.168826,2.928742
Lithuania,2015,12.479999999999999,23.052500000000002,13.650666666666666,4.158024,2.931244
Lithuania,2016,11.041666666666666,21.219375,14.313999999999998,4.150702,2.93414
Lithuania,2017,11.74,19.968888888888888,14.001,4.143254,2.937224
Luxembourg,2010,14.073333333333332,19.126666666666665,23.734,3.634747,5.325033
Luxembourg,2013,15.933333333333332,19.245,25.8275,3.618721,5.318464
Luxembourg,2014,11.736666666666666,18.3175,20.123333333333335,3.616397,5.317404
Luxembourg,2015,11.583333333333334,19.4625,21.956666666666667,3.615115,5.316953
Luxembourg,2016,11.103333333333333,19.17,18.96,3.616485,5.316325
Luxembourg,2017,9.84,18.4225,18.006,3.617719,5.316516
Malta,2010,14.983333333333333,36.78333333333333,18.935000000000002,3.328033,5.318442
Malta,2013,13.209999999999999,30.203333333333333,17.555,3.333244,5.317038
Malta,2014,12.12,29.439999999999998,8.615,3.339847,5.316904
Malta,2015,13.3125,29.80666666666667,17.476666666666667,3.347923,5.317005
Malta,2016,11.8725,33.17,17.802500000000002,3.359126,5.31739
Malta,2017,11.64,26.935,18.323333333333334,3.374137,5.317984
Mexico,2010,22.677142857142858,53.06583333333333,29.197142857142858,2.76109,3.1741
Mexico,2011,26.82,57.78636363636363,26.894444444444446,2.759083,3.17583
Mexico,2012,23.88272727272727,51.56470588235294,26.451818181818183,2.75936,3.177622
Mexico,2013,25.502727272727274,52.003,24.36357142857143,2.761886,3.179422
Mexico,2014,23.052727272727275,45.080555555555556,24.44,2.766085,3.181159
Mexico,2015,24.638125,43.770833333333336,23.836923076923078,2.772136,3.182934
Mexico,2016,22.247142857142855,43.96416666666667,23.5925,2.779875,3.184675
Mongolia,2011,132.0,232.0,49.0,3.576211,2.519978
Mongolia,2012,106.0,253.0,50.0,3.573164,2.525246
Mongolia,2013,72.06,194.6,57.0,3.56871,2.53239
Mongolia,2014,64.21,186.5,39.0,3.560252,2.54142
Mongolia,2015,75.0,141.0,37.0,3.550133,2.551804
Netherlands,2010,16.920526315789473,25.34029411764706,25.18342857142857,4.036617,6.52252
Netherlands,2013,14.3271875,21.87839285714286,23.470769230769232,4.030876,6.546468
Netherlands,2014,13.5278125,20.947222222222223,23.088979591836736,4.031669,6.561376
Netherlands,2015,12.5436,19.17222222222222,21.693653846153843,4.028566,6.578979
Netherlands,2016,10.841612903225805,18.031960784313725,22.398000000000003,4.028952,6.598856
Netherlands,2017,11.092058823529412,18.80549019607843,21.72352941176471,4.026854,6.620242
New Zealand,2014,10.025,16.978484848484847,12.382499999999999,3.967374,8.539198
New Zealand,2015,7.800909090909091,16.261764705882353,9.753333333333332,3.967735,8.539694
New Zealand,2016,8.94357142857143,15.948484848484847,9.47,3.967684,8.539988
New Zealand,2017,11.382222222222222,18.90153846153846,22.51,3.971265,8.539931
Norway,2010,10.549999999999999,20.74230769230769,30.13153846153846,3.585173,7.61844
Norway,2013,8.92125,20.697999999999997,30.37181818181818,3.619685,7.6066
Norway,2014,7.22,16.76611111111111,21.05235294117647,3.646711,7.60143
Norway,2015,6.521875,15.535,21.5405,3.681866,7.596146
Norway,2016,6.5295000000000005,14.564,21.10818181818182,3.723569,7.590933
Norway,2017,6.038333333333333,13.15,19.135185185185183,3.77191,7.585503
Peru,2010,30.57,68.22333333333333,19.1425,2.263609,4.256687
Peru,2011,36.0625,58.839999999999996,12.775,2.262397,4.257831
Peru,2012,30.37,60.75333333333333,14.5975,2.261685,4.258912
Peru,2013,34.52166666666667,65.3409090909091,19.64,2.26368,4.259953
Peru,2014,32.928333333333335,72.49384615384616,17.455714285714286,2.264655,4.260583
Peru,2015,27.425,74.98615384615385,16.503,2.267037,4.260744
Peru,2016,27.5,79.36999999999999,29.692857142857143,2.269521,4.26044
Peru,2017,23.398,65.87666666666667,26.875,2.276321,4.259925
Poland,2010,29.421463414634147,37.05213235294118,17.919270833333332,2.28315,3.461724
Poland,2013,24.482698412698415,32.988957055214726,16.83212962962963,2.2738,3.462549
Poland,2014,24.815303030303028,34.51909677419355,16.70656862745098,2.268372,3.462358
Poland,2015,23.29514285714286,32.82601226993865,16.503333333333334,2.263833,3.461991
Poland,2016,22.398028169014083,31.040853658536584,16.367064220183487,2.257029,3.461527
Poland,2017,22.874399999999998,31.740173410404626,16.223963963963964,2.250472,3.461075
Portugal,2010,8.046,24.167441860465118,21.375652173913043,4.774924,5.371129
Portugal,2013,6.382857142857143,20.347727272727273,14.872499999999999,4.675021,5.375392
Portugal,2014,7.62,18.332424242424242,12.985999999999999,4.622827,5.377254
Portugal,2015,9.849285714285715,20.24897435897436,15.911081081081083,4.561403,5.37913
Portugal,2016,7.197692307692307,17.984473684210524,14.715714285714284,4.494714,5.380981
Portugal,2017,9.309166666666666,20.278,18.275172413793104,4.421461,5.383261
Qatar,2017,44.0,148.0,29.0,3.482327,4.336059
Romania,2010,15.781578947368422,25.577894736842108,21.23,2.331447,3.235208
Romania,2013,16.054,24.576666666666668,20.753548387096775,2.335909,3.233888
Romania,2014,14.504285714285714,22.85275,17.030625,2.340368,3.232604
Romania,2015,16.768333333333334,24.475405405405407,16.298846153846153,2.343899,3.230996
Romania,2016,16.232499999999998,22.267096774193547,18.616666666666667,2.350485,3.229223
Romania,2017,19.143333333333334,24.528245614035086,18.98445945945946,2.359174,3.227186
Senegal,2013,30.0,130.0,36.16,3.298502,2.891473
Senegal,2014,25.0,125.0,34.19,3.314314,2.892787
Senegal,2015,33.0,145.0,19.6,3.329605,2.894516
Senegal,2016,29.42,132.86,20.33,3.34987,2.89667
Senegal,2017,19.86,143.31,22.1,3.370497,2.899331
Serbia,2016,22.67,30.136666666666667,20.242,2.574493,3.405636
Singapore,2014,18.0,30.0,24.0,3.421481,3.72849
Slovakia,2010,21.6535,33.88423076923077,28.843,2.42896,3.451354
Slovakia,2014,19.21333333333333,26.857222222222223,18.735714285714288,2.408812,3.449012
Slovakia,2015,18.6575,27.497142857142855,26.593333333333334,2.406614,3.447717
Slovakia,2016,14.9125,22.46666666666667,19.116470588235295,2.403851,3.446144
Slovakia,2017,19.038888888888888,26.538888888888888,19.979,2.401999,3.444251
Slovenia,2010,18.69666666666667,28.530909090909095,22.098750000000003,2.960118,3.459694
Slovenia,2013,17.143333333333334,24.950714285714287,21.023333333333333,2.906482,3.455844
Slovenia,2014,15.066666666666665,22.395,19.014444444444443,2.891008,3.454426
Slovenia,2015,17.643333333333334,25.925714285714285,20.752222222222223,2.879148,3.45308
Slovenia,2016,17.383333333333333,23.70785714285714,19.354444444444443,2.86876,3.451553
Slovenia,2017,16.53,24.61357142857143,22.384444444444444,2.863278,3.449773
South Africa,2010,34.697500000000005,42.538333333333334,38.86,3.69995,3.995125
South Africa,2011,47.825,39.592,21.346666666666664,3.699571,3.99337
South Africa,2012,27.28857142857143,53.39,22.98,3.700294,3.99189
South Africa,2013,24.224999999999998,41.248000000000005,30.05875,3.703193,3.990827
South Africa,2014,21.80333333333333,41.491,25.60666666666667,3.70879,3.990247
South Africa,2015,19.3625,35.33111111111111,23.5,3.717595,3.990262
South Africa,2016,22.853749999999998,44.23090909090909,29.66111111111111,3.729763,3.991029
South Africa,2017,15.886000000000001,31.282,20.183333333333334,3.745871,3.99283
Spain,2010,9.866119402985074,21.75533039647577,18.093828382838286,3.454534,5.271059
Spain,2013,8.446447368421053,18.334708737864077,15.800357142857145,3.480882,5.275748
Spain,2014,8.469135802469136,18.734103773584906,15.480899653979238,3.49155,5.277069
Spain,2015,9.496781609195402,20.314252336448597,16.832926829268292,3.506859,5.278341
Spain,2016,8.35840909090909,18.64212962962963,15.606470588235293,3.522661,5.279232
Spain,2017,9.550217391304347,20.3150462962963,16.50164948453608,3.538359,5.280279
Sweden,2010,7.445555555555556,17.247307692307693,20.390555555555558,4.554698,5.307457
Sweden,2013,6.3774999999999995,17.93375,17.69962962962963,4.533727,5.301412
Sweden,2014,8.085,17.503461538461536,15.652941176470586,4.524133,5.299064
Sweden,2015,6.3853333333333335,15.10206896551724,14.02742857142857,4.513444,5.297058
Sweden,2016,5.863684210526316,13.97809523809524,14.76288888888889,4.50042,5.295184
Sweden,2017,5.022,13.711666666666666,14.239583333333334,4.487911,5.293837
Switzerland,2011,14.577777777777776,20.764814814814816,25.148202247191012,3.769659,5.353578
Switzerland,2012,12.733333333333333,17.846913580246913,24.236704545454543,3.755501,5.353
Switzerland,2013,14.046153846153846,18.128773584905662,24.569375,3.743814,5.35321
Switzerland,2014,8.977777777777778,14.95888888888889,23.238720930232557,3.731711,5.354199
Switzerland,2015,11.447333333333335,16.563469387755102,23.96019230769231,3.721917,5.355516
Switzerland,2016,10.223749999999999,14.366458333333334,22.429899999999996,3.714226,5.357419
Switzerland,2017,11.481851851851852,14.603365384615385,22.491904761904763,3.70806,5.359393
Thailand,2015,27.87,39.845,19.47,3.085864,3.324273
Trinidad and Tobago,2016,11.9,25.2,13.3,3.33339,4.629343
Trinidad and Tobago,2017,14.7,26.575000000000003,8.0,3.329938,4.629351
Turkey,2016,23.010625,51.20863636363636,32.3675,3.721385,3.911946
Turkey,2017,25.145,50.28619565217391,30.5114,3.718658,3.9134
United Arab Emirates,2017,32.79,116.52250000000001,44.041999999999994,2.877426,4.263912
United Kingdom,2010,12.457954545454545,18.40081081081081,28.320138888888888,4.126807,4.668295
United Kingdom,2013,12.167962962962964,17.77,24.03494252873563,4.125825,4.662206
United Kingdom,2014,11.78078431372549,16.56477272727273,23.699634146341467,4.125316,4.659356
United Kingdom,2015,9.732068965517241,15.437446808510638,22.853736263736263,4.124435,4.656279
United Kingdom,2016,9.798867924528302,16.059302325581395,25.041685393258426,4.122485,4.653107
United Kingdom,2017,9.063207547169812,14.619347826086956,22.741134020618556,4.119524,4.649861
