Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%),PM2.5/NO2 Ratio,Pollution Category,Depression Change (%),Anxiety Change (%)
Cyprus,2015,15.954,34.403333333333336,16.96,3.302054,5.305575,0.940683962264151,Medium,0.008617000000000097,-0.00010799999999999699
Cyprus,2016,11.506666666666668,29.275,16.223333333333333,3.314551,5.305325,0.7092664885966715,Low,0.012496999999999758,-0.00025000000000030553
Cyprus,2017,13.724,26.865,15.033333333333331,3.328111,5.304908,0.9129046563192906,Medium,0.013560000000000016,-0.00041699999999966764
Denmark,2010,15.086666666666666,21.5475,25.33,3.277504,5.317616,0.595604684826951,Medium,,
Denmark,2013,11.0625,21.735,18.13714285714286,3.275889,5.317042,0.6099362003780717,Low,-0.001615000000000144,-0.0005740000000002965
Denmark,2014,13.26,22.186,18.00166666666667,3.277973,5.316366,0.7365984631052679,Medium,0.0020839999999999748,-0.0006759999999994548
Denmark,2015,11.256666666666666,20.655,12.541250000000002,3.281306,5.315579,0.8975713478853117,Low,0.0033330000000000304,-0.0007870000000007593
Denmark,2016,10.29,18.73,12.783333333333337,3.285642,5.314948,0.8049543676662317,Low,0.00433600000000034,-0.0006309999999993821
Denmark,2017,9.406,17.985,11.954444444444444,3.291885,5.314635,0.7868203364624966,Low,0.0062429999999999986,-0.00031300000000022976
Ecuador,2010,19.27,39.865,20.54,2.959062,4.29317,0.9381694255111976,Medium,,
Ecuador,2011,17.82,34.08,18.53,2.960197,4.295131,0.9616837560712358,Medium,0.0011350000000001081,0.0019609999999996575
Ecuador,2012,18.43,36.42666666666667,19.63,2.961697,4.296969,0.9388690779419256,Medium,0.0015000000000000568,0.0018380000000002283
Ecuador,2013,18.45,34.25,21.435,2.965013,4.298674,0.86074177746676,Medium,0.0033159999999998746,0.0017050000000002896
Ecuador,2014,17.32,46.445,22.895,2.967176,4.300375,0.7564970517580258,Medium,0.002162999999999915,0.0017009999999997305
Ecuador,2015,17.27,38.725,22.42,2.970413,4.302069,0.7702943800178411,Medium,0.0032370000000003785,0.0016940000000005284
Ecuador,2016,14.07,40.75,20.74,2.973805,4.303726,0.6783992285438767,Medium,0.0033919999999998396,0.0016569999999997975
Ecuador,2017,14.015,43.375,19.395,2.977117,4.305357,0.7226089198246971,Medium,0.0033119999999997596,0.001630999999999716
Estonia,2010,7.726666666666667,15.77,8.52142857142857,4.013452,2.968607,0.9067337245040515,Low,,
Estonia,2013,6.645714285714286,13.842000000000002,8.643333333333333,3.926684,2.966459,0.7688832571208198,Low,-0.08676800000000018,-0.0021480000000000388
Estonia,2014,7.508571428571429,14.342000000000002,7.215714285714285,3.902099,2.965608,1.0405860225697883,Low,-0.024584999999999635,-0.0008509999999999351
Estonia,2015,6.362,12.335,6.217142857142858,3.880068,2.964644,1.023299632352941,Low,-0.022031000000000134,-0.0009640000000001869
Estonia,2016,5.204285714285715,11.41,6.435714285714285,3.861329,2.963537,0.8086570477247504,Low,-0.01873900000000006,-0.001106999999999747
Estonia,2017,4.55,10.386,5.514285714285714,3.848854,2.962244,0.8251295336787564,Low,-0.012474999999999792,-0.0012929999999999886
Finland,2010,8.529166666666667,14.886400000000002,16.764444444444443,4.981612,3.748035,0.508765243902439,Low,,
Finland,2013,6.407692307692307,13.14346153846154,14.304736842105264,4.916404,3.748436,0.4479419914130536,Low,-0.06520800000000015,0.0004010000000000957
Finland,2014,7.609285714285714,14.601923076923075,14.64714285714286,4.888971,3.749012,0.5195064859065638,Low,-0.027433000000000263,0.000576000000000132
Finland,2015,5.699285714285714,12.48,13.350952380952382,4.857565,3.749912,0.4268823340585654,Low,-0.0314059999999996,0.0009000000000001229
Finland,2016,5.727142857142858,11.933846153846153,13.053,4.825886,3.750722,0.4387606571012685,Low,-0.03167900000000046,0.0008099999999999774
Finland,2017,4.512857142857143,10.542962962962964,12.305,4.792736,3.752062,0.3667498693910722,Low,-0.03315000000000001,0.0013399999999998968
France,2010,17.74651515151515,24.381048689138577,23.06571428571429,4.352983,6.663107,0.76938935996907,Medium,,
France,2014,9.02,27.13,10.526,4.316753,6.643231,0.8569257077712331,Low,-0.03622999999999976,-0.019876000000000005
France,2015,12.745564516129033,20.04169014084507,20.161634615384617,4.299326,6.637445,0.6321692044951231,Medium,-0.017427000000000525,-0.005786000000000513
France,2016,11.573565217391304,18.146554307116105,19.086414473684208,4.278159,6.632055,0.6063771293109347,Low,-0.021167000000000158,-0.00538999999999934
France,2017,10.9672,18.241818181818186,18.812983050847457,4.253807,6.62671,0.5829591176666673,Low,-0.024351999999999485,-0.005345000000000155
Germany,2010,17.34602409638554,22.574647887323945,25.707684210526317,3.927668,6.582874,0.6747408266857038,Medium,,
Germany,2013,14.110733944954127,19.76259067357513,29.82421052631579,3.934021,6.580384,0.4731301749799322,Medium,0.006352999999999831,-0.0024900000000007694
Germany,2014,14.033461538461538,19.45664122137405,25.512264150943395,3.940119,6.57494,0.550067271780839,Medium,0.006098000000000159,-0.005443999999999782
Germany,2015,12.6825,18.31889312977099,25.019686520376176,3.946206,6.566759,0.5069008354549646,Medium,0.0060869999999999536,-0.00818099999999955
Germany,2016,12.198529411764708,17.070346153846153,24.899369085173504,3.949598,6.54799,0.4899131929824039,Medium,0.0033919999999998396,-0.018768999999999814
Germany,2017,12.078344827586209,16.816477272727273,23.598668730650157,3.959866,6.540496,0.5118231441546849,Medium,0.010267999999999944,-0.007494000000000334
Greece,2010,14.86,38.536,25.728571428571428,4.32432,5.803853,0.5775680177679067,Medium,,
Greece,2013,10.02,33.30444444444444,20.2475,4.272856,5.80382,0.4948759106062477,Low,-0.051464000000000176,-3.300000000017178e-05
Greece,2015,18.845,32.367777777777775,24.34058823529412,4.231759,5.798518,0.7742212233258414,Medium,-0.04109699999999972,-0.005302000000000362
